"model_name","id","AIC","horizon","pred","actual"
"3ni",16,-514.102982329814,40,0.00364563008574278,0
"4i",16,-451.830426590265,40,-0.00143491001922257,0
"4ni",16,-520.194668886052,40,-0.00563347467120189,0
"9ni",16,-481.755110592306,40,-0.0019481859274439,0
"2i",16,-783.872741308599,60,-0.00160616441227014,0
"2ni",16,-791.925076444218,60,0.000310485850050627,0
"3i",16,-788.310031540867,60,0.00281392183886376,0
"3ni",16,-818.898123394439,60,-0.0129889826837628,0
"4i",16,-792.054078491718,60,0.00624923423780059,0
"4ni",16,-834.164955750336,60,0.00136750559331425,0
"9ni",16,-792.154725044656,60,1.68592498003235e-29,0
"2i",16,-1031.36638146333,80,0.0265780687410914,0
"2ni",16,-1034.68404283235,80,0.0156948913967714,0
"3i",16,-1023.88700667951,80,0.0180872520737612,0
"3ni",16,-1056.84417156453,80,0.0231400298967388,0
"4i",16,-625.44532106042,80,0.0250272795421542,0
"4ni",16,-1089.50926296678,80,0.0280778131194612,0
"9ni",16,-1050.44971785152,80,0.018249637087999,0
"2i",17,-132.188462288379,40,0.598403300693545,1
"2ni",17,-135.333044463858,40,0.601285868551263,1
"3i",17,-148.859411110821,40,0.740383917104708,1
"3ni",17,-148.153265139377,40,0.840737523292121,1
"4i",17,-153.44361883727,40,0.64572284288664,1
"4ni",17,-151.636851745072,40,0.821842182829706,1
"9ni",17,-20.0503342119797,40,0.885541860671634,1
"2i",17,-206.806154540655,60,0.531922521635272,0
"2ni",17,-210.746595293746,60,0.532248528911082,0
"3i",17,-221.117482947654,60,0.511964060201584,0
"3ni",17,-229.579367505173,60,0.486602611308401,0
"4i",17,-222.764893624232,60,0.113629244320788,0
"4ni",17,-227.579744802071,60,0.232213501438538,0
"9ni",17,-54.0211157555591,60,0.32092085989562,0
"2i",17,-262.933377896767,80,0.578302191971763,0
"2ni",17,-266.789198141277,80,0.578716334193547,0
"3i",17,-269.107146343307,80,0.609130451952064,0
"3ni",17,-276.637922867233,80,0.630072530263322,0
"4i",17,-269.338479991944,80,0.568690286372672,0
"4ni",17,-276.952885568968,80,0.602432846222407,0
"9ni",17,-59.91778077106,80,0.580479383120737,0
"2i",18,-716.810138380784,40,-3.17717138199318e-10,0
"2ni",18,-745.24745534632,40,-1.2343882417997e-14,0
"3i",18,-609.335942963323,40,-5.43671725559968e-21,0
"3ni",18,-624.03103430719,40,-7.14112897402938e-16,0
"4i",18,-459.541212784996,40,-7.13920514700075e-30,0
"4ni",18,-620.530454811274,40,-6.07683729722382e-18,0
"9ni",18,-607.928086164086,40,-2.30262394652333e-60,0
"2i",18,-955.661147288105,60,-3.12809468380166e-11,0
"2ni",18,-1542.94691869198,60,-1.0890699062339e-25,0
"3i",18,-582.942482007442,60,3.26425227861911e-19,0
"3ni",18,-867.191503654879,60,-0.00535875904481181,0
"4i",18,-504.120983660121,60,2.97489742961487e-21,0
"4ni",18,-761.823079251972,60,-7.27156236610365e-13,0
"9ni",18,-1730.41729912787,60,1.29607597982195e-67,0
"2i",18,-1359.67459153413,80,0.000394303877354299,0
"2ni",18,-1364.35665966744,80,-0.00435539933006483,0
"3i",18,-1006.11746496269,80,-1.60677200244227e-15,0
"3ni",18,-1372.07809144808,80,-0.000108284526391035,0
"4i",18,-874.33725817861,80,-2.41122801891657e-17,0
"4ni",18,-1359.6634045833,80,0.000137574350657954,0
"9ni",18,-1132.64785864161,80,-2.12653526352785e-31,0
"2i",19,30.7590733685423,40,9.10799213826863e-13,0
"2ni",19,29.6223820079767,40,1.05374235725986e-08,0
"3i",19,78.7830113534716,40,4.06780568285026e-07,0
"3ni",19,53.7577925112308,40,-8.25451727803905e-09,0
"4i",19,126.306889649811,40,9.74809403198051e-07,0
"4ni",19,104.177554628875,40,2.69770147887094e-07,0
"9ni",19,126.790778107557,40,8.63264374567629e-08,0
"2i",19,-69.1236871304774,60,2.45655377428822e-08,0
"2ni",19,-100.165978338794,60,-5.7943995435128e-10,0
"3i",19,-10.7722728711097,60,3.66517985558867e-07,0
"3ni",19,-56.1193255677003,60,-1.50106865381971e-07,0
"4i",19,42.4221243260232,60,6.57349607094404e-07,0
"4ni",19,20.3560795428748,60,2.03038411450418e-06,0
"9ni",19,75.0619735974413,60,5.98125690365325e-07,0
"2i",19,-129.808736224576,80,7.76731429175115e-10,0
"2ni",19,-171.344415142423,80,-2.61288096298218e-08,0
"3i",19,-65.7897133638496,80,3.80137456387764e-07,0
"3ni",19,-75.3258254076,80,2.6300801438256e-06,0
"4i",19,-50.9183730706976,80,-7.03640927648963e-07,0
"4ni",19,-28.475702885146,80,2.83212587659509e-07,0
"9ni",19,41.6148613189111,80,1.26755928972488e-06,0
"2i",20,-559.499502421033,40,-8.67164740702598e-25,0
"2ni",20,-574.762579789105,40,-0.000996618834708194,0
